job_id,job_title,domain,required_skills,education_required,experience_required_years,responsibilities
JD001,Junior Data Analyst,Data Analytics,"Python, SQL, Pandas, NumPy, Excel, data visualization","Bachelor's degree in Data Science, Computer Science, Statistics or related field",0,"Analyze datasets, prepare reports, clean data and communicate actionable insights."
JD002,Data Analyst Intern,Data Analytics,"Python, SQL, Pandas, Excel, Power BI, statistics",Bachelor's or Master's degree in a quantitative field,0,"Support data cleaning, exploratory analysis, dashboards and business reporting."
JD003,Junior Data Scientist,Data Science,"Python, Pandas, NumPy, Scikit-learn, SQL, statistics, machine learning","Bachelor's or Master's degree in Data Science, Computer Science or related field",1,"Build predictive models, preprocess data and evaluate machine learning models."
JD004,Machine Learning Intern,AI/ML,"Python, NumPy, Pandas, Scikit-learn, machine learning, Git","Bachelor's or Master's degree in Computer Science, AI, ML or Data Science",0,"Assist with preprocessing, model development, evaluation and experimentation."
JD005,ML Engineer Intern,AI/ML,"Python, PyTorch, TensorFlow, Docker, Git, machine learning",Bachelor's or Master's degree in Computer Science or related field,0,Develop and deploy machine learning models and support ML pipelines.
JD006,Python Developer Intern,Software Development,"Python, Django, REST API, SQL, Git, HTML, CSS",Bachelor's or Master's degree in Computer Science or related field,0,"Develop backend applications, APIs and database-driven web services."
JD007,Backend Developer,Software Development,"Python, Django, FastAPI, REST API, PostgreSQL, Docker, Git",Bachelor's degree in Computer Science or related field,2,"Build scalable backend services, APIs and database integrations."
JD008,Data Engineer Intern,Data Engineering,"Python, SQL, ETL, Airflow, Spark, AWS, Git","Bachelor's or Master's degree in Computer Science, Data Engineering or related field",0,"Build data pipelines, transform datasets and support analytics infrastructure."
JD009,Business Intelligence Intern,Business Intelligence,"SQL, Power BI, Excel, data visualization, statistics","Bachelor's or Master's degree in Business Analytics, Data Science or related field",0,"Create dashboards, analyze KPIs and support business decision making."
JD010,NLP Intern,AI/ML,"Python, NLP, NLTK, spaCy, Transformers, SQL, Git","Bachelor's or Master's degree in AI, ML, Data Science or Computer Science",0,"Develop NLP pipelines for text classification, information extraction and semantic analysis."
JD011,Deep Learning Intern,AI/ML,"Python, PyTorch, TensorFlow, CNN, deep learning, NumPy","Bachelor's or Master's degree in AI, ML, Data Science or related field",0,Develop and evaluate deep learning models for real-world datasets.
JD012,Cloud Data Intern,Cloud/Data,"Python, SQL, AWS, Docker, ETL, Git","Bachelor's or Master's degree in Computer Science, Data Science or related field",0,Support cloud-based data processing and analytics workflows.
JD013,Software Developer Intern,Software Development,"Java, C++, Python, Git, SQL, data structures, algorithms",Bachelor's degree in Computer Science or related field,0,"Implement software features, debug applications and work with development teams."
JD014,Research Assistant - Data Science,Research/Data Science,"Python, Pandas, NumPy, Scikit-learn, statistics, machine learning","Bachelor's or Master's degree in Data Science, Statistics or Computer Science",0,"Prepare datasets, run experiments, evaluate models and document research findings."
JD015,Data Visualization Intern,Analytics,"Python, Matplotlib, Tableau, Power BI, SQL, Excel","Bachelor's or Master's degree in Data Science, Analytics or related field",0,Create visualizations and dashboards and communicate insights from datasets.
JD016,Junior ML Analyst,AI/Analytics,"Python, SQL, Pandas, Scikit-learn, XGBoost, statistics","Bachelor's or Master's degree in Data Science, AI or Computer Science",0,Analyze data and develop machine learning models for business problems.
JD017,Full Stack Developer Intern,Web Development,"Python, Django, JavaScript, React, SQL, REST API, Git",Bachelor's or Master's degree in Computer Science or related field,0,Build web applications across frontend and backend components.
JD018,Database Analyst Intern,Data/Database,"SQL, PostgreSQL, database design, Python, Excel","Bachelor's or Master's degree in Computer Science, Data Science or related field",0,"Write queries, analyze database information and support data quality."
JD019,MLOps Intern,AI/ML,"Python, Docker, Kubernetes, MLflow, AWS, Git, machine learning","Bachelor's or Master's degree in Computer Science, AI or Data Science",0,"Support model deployment, monitoring and reproducible ML workflows."
JD020,Product Data Analyst,Analytics,"SQL, Python, Pandas, statistics, experimentation, data visualization","Bachelor's or Master's degree in Data Science, Statistics, Economics or related field",1,"Analyze product metrics, experiments and user behavior to support product decisions."
